p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
6323,3,2126,3161,True
6329,5,83,113,True
6337,2,107,288,True
6343,17,990,1057,True
6353,2,181,397,True
6359,3,118,187,True
6361,2,21,53,True
6367,2,1595,3183,True
6373,19,213,236,True
6379,17,993,1063,True
6389,11,1453,1597,True
6397,23,227,246,True
6421,5,74,107,True
6427,17,174,189,True
6449,11,221,248,True
6451,19,21,25,True
6469,11,131,147,True
6473,13,749,809,True
6481,3,8,24,True
6491,11,513,590,True
6521,2,785,1630,True
6529,2,31,102,True
6547,29,1052,1091,True
6551,23,22,25,True
6553,3,20,39,True
6563,3,110,193,True
6569,5,648,821,True
6571,5,287,365,True
6577,17,383,411,True
6581,5,257,329,True
6599,2,1639,3299,True
6607,29,343,367,True
6619,23,2101,2206,True
6637,29,18,21,True
6653,11,1505,1663,True
6659,3,2228,3329,True
6661,19,79,90,True
6673,7,350,417,True
6679,2,69,159,True
6689,11,184,209,True
6691,13,200,223,True
6701,5,495,670,True
6703,19,1053,1117,True
6709,3,716,1118,True
6719,2,1683,3359,True
6733,5,146,204,True
6737,11,744,842,True
6761,5,671,845,True
6763,11,861,966,True
6779,3,2231,3389,True
6781,19,102,113,True
6791,2,323,679,True
6793,29,818,849,True
6803,3,2285,3401,True
6823,11,677,758,True
6827,3,2333,3413,True
6829,5,1375,1707,True
6833,17,785,854,True
6841,19,51,57,True
6857,2,415,857,True
6863,2,1723,3431,True
6869,7,1457,1717,True
6871,2,333,687,True
6883,3,27,62,True
6899,3,2312,3449,True
6907,11,1044,1151,True
6911,19,643,691,True
6917,29,47,52,True
6947,3,2315,3473,True
6949,17,351,386,True
6959,13,60,71,True
6961,5,59,87,True
6967,2,585,1161,True
6971,3,132,205,True
6977,19,819,872,True
6983,2,1719,3491,True
6991,3,285,466,True
6997,13,53,66,True
7001,13,173,200,True
7013,17,1641,1753,True
7019,17,293,319,True
7027,7,993,1171,True
7039,13,121,138,True
7043,3,320,503,True
7057,2,179,392,True
7069,3,377,589,True
7079,2,1763,3539,True
7103,17,119,134,True
7109,5,1399,1777,True
7121,17,80,89,True
7127,3,323,509,True
7129,13,230,264,True
7151,2,157,325,True
7159,7,1001,1193,True
7177,19,89,104,True
7187,3,2375,3593,True
7193,17,24,29,True
7207,11,1093,1201,True
7211,13,469,515,True
7213,3,761,1202,True
7219,5,942,1203,True
7229,17,124,139,True
7237,29,62,67,True
7243,29,1168,1207,True
7247,2,1835,3623,True
7253,17,967,1036,True
7283,7,276,331,True
7297,3,115,192,True
7307,3,2420,3653,True
7309,2,483,1044,True
7321,11,4,8,True
7331,3,490,733,True
7333,3,16,39,True
7349,11,1662,1837,True
7351,2,255,525,True
7369,19,288,307,True
7393,2,105,264,True
7411,7,624,741,True
7417,29,295,309,True
7433,19,866,929,True
7451,3,84,149,True
7457,19,1735,1864,True
7459,5,257,339,True
7477,17,991,1068,True
7481,3,271,440,True
7487,2,85,197,True
