p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
11,1181,6,5,"[(x^5 + 60*x^4 + 1180*x^3 + x^2 + 59*x + 1180, 6), (x^5 + 1122*x^4 + 1180*x^3 + x^2 + 1121*x + 1180, 6)]",False
11,1193,6,5,"[(x^5 + 35*x^4 + 1192*x^3 + x^2 + 34*x + 1192, 6), (x^5 + 1159*x^4 + 1192*x^3 + x^2 + 1158*x + 1192, 6)]",False
11,1213,6,5,"[(x^5 + 116*x^4 + 1212*x^3 + x^2 + 115*x + 1212, 6), (x^5 + 1098*x^4 + 1212*x^3 + x^2 + 1097*x + 1212, 6)]",False
11,1237,6,5,"[(x^5 + 106*x^4 + 1236*x^3 + x^2 + 105*x + 1236, 6), (x^5 + 1132*x^4 + 1236*x^3 + x^2 + 1131*x + 1236, 6)]",False
11,1259,6,5,"[(x^5 + 511*x^4 + 1258*x^3 + x^2 + 510*x + 1258, 6), (x^5 + 749*x^4 + 1258*x^3 + x^2 + 748*x + 1258, 6)]",False
11,1279,6,5,"[(x^5 + 139*x^4 + 1278*x^3 + x^2 + 138*x + 1278, 6), (x^5 + 1141*x^4 + 1278*x^3 + x^2 + 1140*x + 1278, 6)]",False
11,1291,6,5,"[(x^5 + 358*x^4 + 1290*x^3 + x^2 + 357*x + 1290, 6), (x^5 + 934*x^4 + 1290*x^3 + x^2 + 933*x + 1290, 6)]",False
11,1301,6,5,"[(x^5 + 461*x^4 + 1300*x^3 + x^2 + 460*x + 1300, 6), (x^5 + 841*x^4 + 1300*x^3 + x^2 + 840*x + 1300, 6)]",False
11,1303,6,5,"[(x^5 + 63*x^4 + 1302*x^3 + x^2 + 62*x + 1302, 6), (x^5 + 1241*x^4 + 1302*x^3 + x^2 + 1240*x + 1302, 6)]",False
11,1307,6,5,"[(x^5 + 636*x^4 + 1306*x^3 + x^2 + 635*x + 1306, 6), (x^5 + 672*x^4 + 1306*x^3 + x^2 + 671*x + 1306, 6)]",False
11,1367,6,5,"[(x^5 + 560*x^4 + 1366*x^3 + x^2 + 559*x + 1366, 6), (x^5 + 808*x^4 + 1366*x^3 + x^2 + 807*x + 1366, 6)]",False
11,1373,6,5,"[(x^5 + 144*x^4 + 1372*x^3 + x^2 + 143*x + 1372, 6), (x^5 + 1230*x^4 + 1372*x^3 + x^2 + 1229*x + 1372, 6)]",False
11,1423,6,5,"[(x^5 + 340*x^4 + 1422*x^3 + x^2 + 339*x + 1422, 6), (x^5 + 1084*x^4 + 1422*x^3 + x^2 + 1083*x + 1422, 6)]",False
11,1433,6,5,"[(x^5 + 450*x^4 + 1432*x^3 + x^2 + 449*x + 1432, 6), (x^5 + 984*x^4 + 1432*x^3 + x^2 + 983*x + 1432, 6)]",False
11,1439,6,5,"[(x^5 + 311*x^4 + 1438*x^3 + x^2 + 310*x + 1438, 6), (x^5 + 1129*x^4 + 1438*x^3 + x^2 + 1128*x + 1438, 6)]",False
11,1483,6,5,"[(x^5 + 334*x^4 + 1482*x^3 + x^2 + 333*x + 1482, 6), (x^5 + 1150*x^4 + 1482*x^3 + x^2 + 1149*x + 1482, 6)]",False
11,1489,6,5,"[(x^5 + 201*x^4 + 1488*x^3 + x^2 + 200*x + 1488, 6), (x^5 + 1289*x^4 + 1488*x^3 + x^2 + 1288*x + 1488, 6)]",False
11,1499,6,5,"[(x^5 + 236*x^4 + 1498*x^3 + x^2 + 235*x + 1498, 6), (x^5 + 1264*x^4 + 1498*x^3 + x^2 + 1263*x + 1498, 6)]",False
11,1511,6,5,"[(x^5 + 395*x^4 + 1510*x^3 + x^2 + 394*x + 1510, 6), (x^5 + 1117*x^4 + 1510*x^3 + x^2 + 1116*x + 1510, 6)]",False
11,1523,6,5,"[(x^5 + 419*x^4 + 1522*x^3 + x^2 + 418*x + 1522, 6), (x^5 + 1105*x^4 + 1522*x^3 + x^2 + 1104*x + 1522, 6)]",False
11,1543,6,5,"[(x^5 + 264*x^4 + 1542*x^3 + x^2 + 263*x + 1542, 6), (x^5 + 1280*x^4 + 1542*x^3 + x^2 + 1279*x + 1542, 6)]",False
11,1549,6,5,"[(x^5 + 205*x^4 + 1548*x^3 + x^2 + 204*x + 1548, 6), (x^5 + 1345*x^4 + 1548*x^3 + x^2 + 1344*x + 1548, 6)]",False
11,1567,6,5,"[(x^5 + 89*x^4 + 1566*x^3 + x^2 + 88*x + 1566, 6), (x^5 + 1479*x^4 + 1566*x^3 + x^2 + 1478*x + 1566, 6)]",False
11,1571,6,5,"[(x^5 + 154*x^4 + 1570*x^3 + x^2 + 153*x + 1570, 6), (x^5 + 1418*x^4 + 1570*x^3 + x^2 + 1417*x + 1570, 6)]",False
11,1609,6,5,"[(x^5 + 470*x^4 + 1608*x^3 + x^2 + 469*x + 1608, 6), (x^5 + 1140*x^4 + 1608*x^3 + x^2 + 1139*x + 1608, 6)]",False
11,1621,6,5,"[(x^5 + 673*x^4 + 1620*x^3 + x^2 + 672*x + 1620, 6), (x^5 + 949*x^4 + 1620*x^3 + x^2 + 948*x + 1620, 6)]",False
11,1637,6,5,"[(x^5 + 784*x^4 + 1636*x^3 + x^2 + 783*x + 1636, 6), (x^5 + 854*x^4 + 1636*x^3 + x^2 + 853*x + 1636, 6)]",False
11,1697,6,5,"[(x^5 + 632*x^4 + 1696*x^3 + x^2 + 631*x + 1696, 6), (x^5 + 1066*x^4 + 1696*x^3 + x^2 + 1065*x + 1696, 6)]",False
11,1699,6,5,"[(x^5 + 277*x^4 + 1698*x^3 + x^2 + 276*x + 1698, 6), (x^5 + 1423*x^4 + 1698*x^3 + x^2 + 1422*x + 1698, 6)]",False
11,1709,6,5,"[(x^5 + 676*x^4 + 1708*x^3 + x^2 + 675*x + 1708, 6), (x^5 + 1034*x^4 + 1708*x^3 + x^2 + 1033*x + 1708, 6)]",False
11,1721,6,5,"[(x^5 + 620*x^4 + 1720*x^3 + x^2 + 619*x + 1720, 6), (x^5 + 1102*x^4 + 1720*x^3 + x^2 + 1101*x + 1720, 6)]",False
11,1741,6,5,"[(x^5 + 467*x^4 + 1740*x^3 + x^2 + 466*x + 1740, 6), (x^5 + 1275*x^4 + 1740*x^3 + x^2 + 1274*x + 1740, 6)]",False
11,1747,6,5,"[(x^5 + 569*x^4 + 1746*x^3 + x^2 + 568*x + 1746, 6), (x^5 + 1179*x^4 + 1746*x^3 + x^2 + 1178*x + 1746, 6)]",False
11,1753,6,5,"[(x^5 + 73*x^4 + 1752*x^3 + x^2 + 72*x + 1752, 6), (x^5 + 1681*x^4 + 1752*x^3 + x^2 + 1680*x + 1752, 6)]",False
11,1787,6,5,"[(x^5 + 314*x^4 + 1786*x^3 + x^2 + 313*x + 1786, 6), (x^5 + 1474*x^4 + 1786*x^3 + x^2 + 1473*x + 1786, 6)]",False
11,1831,6,5,"[(x^5 + 625*x^4 + 1830*x^3 + x^2 + 624*x + 1830, 6), (x^5 + 1207*x^4 + 1830*x^3 + x^2 + 1206*x + 1830, 6)]",False
11,1873,6,5,"[(x^5 + 390*x^4 + 1872*x^3 + x^2 + 389*x + 1872, 6), (x^5 + 1484*x^4 + 1872*x^3 + x^2 + 1483*x + 1872, 6)]",False
11,1879,6,5,"[(x^5 + 875*x^4 + 1878*x^3 + x^2 + 874*x + 1878, 6), (x^5 + 1005*x^4 + 1878*x^3 + x^2 + 1004*x + 1878, 6)]",False
11,1901,6,5,"[(x^5 + 76*x^4 + 1900*x^3 + x^2 + 75*x + 1900, 6), (x^5 + 1826*x^4 + 1900*x^3 + x^2 + 1825*x + 1900, 6)]",False
11,1907,6,5,"[(x^5 + 435*x^4 + 1906*x^3 + x^2 + 434*x + 1906, 6), (x^5 + 1473*x^4 + 1906*x^3 + x^2 + 1472*x + 1906, 6)]",False
11,1951,6,5,"[(x^5 + 133*x^4 + 1950*x^3 + x^2 + 132*x + 1950, 6), (x^5 + 1819*x^4 + 1950*x^3 + x^2 + 1818*x + 1950, 6)]",False
11,1973,6,5,"[(x^5 + 901*x^4 + 1972*x^3 + x^2 + 900*x + 1972, 6), (x^5 + 1073*x^4 + 1972*x^3 + x^2 + 1072*x + 1972, 6)]",False
11,2011,6,5,"[(x^5 + 373*x^4 + 2010*x^3 + x^2 + 372*x + 2010, 6), (x^5 + 1639*x^4 + 2010*x^3 + x^2 + 1638*x + 2010, 6)]",False
11,2017,6,5,"[(x^5 + 598*x^4 + 2016*x^3 + x^2 + 597*x + 2016, 6), (x^5 + 1420*x^4 + 2016*x^3 + x^2 + 1419*x + 2016, 6)]",False
11,2027,6,5,"[(x^5 + 863*x^4 + 2026*x^3 + x^2 + 862*x + 2026, 6), (x^5 + 1165*x^4 + 2026*x^3 + x^2 + 1164*x + 2026, 6)]",False
11,2029,6,5,"[(x^5 + 907*x^4 + 2028*x^3 + x^2 + 906*x + 2028, 6), (x^5 + 1123*x^4 + 2028*x^3 + x^2 + 1122*x + 2028, 6)]",False
11,2039,6,5,"[(x^5 + 608*x^4 + 2038*x^3 + x^2 + 607*x + 2038, 6), (x^5 + 1432*x^4 + 2038*x^3 + x^2 + 1431*x + 2038, 6)]",False
11,2083,6,5,"[(x^5 + 991*x^4 + 2082*x^3 + x^2 + 990*x + 2082, 6), (x^5 + 1093*x^4 + 2082*x^3 + x^2 + 1092*x + 2082, 6)]",False
11,2099,6,5,"[(x^5 + 589*x^4 + 2098*x^3 + x^2 + 588*x + 2098, 6), (x^5 + 1511*x^4 + 2098*x^3 + x^2 + 1510*x + 2098, 6)]",False
11,2137,6,5,"[(x^5 + 1029*x^4 + 2136*x^3 + x^2 + 1028*x + 2136, 6), (x^5 + 1109*x^4 + 2136*x^3 + x^2 + 1108*x + 2136, 6)]",False
11,2143,6,5,"[(x^5 + 104*x^4 + 2142*x^3 + x^2 + 103*x + 2142, 6), (x^5 + 2040*x^4 + 2142*x^3 + x^2 + 2039*x + 2142, 6)]",False
11,2161,6,5,"[(x^5 + 81*x^4 + 2160*x^3 + x^2 + 80*x + 2160, 6), (x^5 + 2081*x^4 + 2160*x^3 + x^2 + 2080*x + 2160, 6)]",False
11,2203,6,5,"[(x^5 + 495*x^4 + 2202*x^3 + x^2 + 494*x + 2202, 6), (x^5 + 1709*x^4 + 2202*x^3 + x^2 + 1708*x + 2202, 6)]",False
11,2237,6,5,"[(x^5 + 879*x^4 + 2236*x^3 + x^2 + 878*x + 2236, 6), (x^5 + 1359*x^4 + 2236*x^3 + x^2 + 1358*x + 2236, 6)]",False
11,2269,6,5,"[(x^5 + 107*x^4 + 2268*x^3 + x^2 + 106*x + 2268, 6), (x^5 + 2163*x^4 + 2268*x^3 + x^2 + 2162*x + 2268, 6)]",False
11,2281,6,5,"[(x^5 + 745*x^4 + 2280*x^3 + x^2 + 744*x + 2280, 6), (x^5 + 1537*x^4 + 2280*x^3 + x^2 + 1536*x + 2280, 6)]",False
11,2293,6,5,"[(x^5 + 505*x^4 + 2292*x^3 + x^2 + 504*x + 2292, 6), (x^5 + 1789*x^4 + 2292*x^3 + x^2 + 1788*x + 2292, 6)]",False
11,2297,6,5,"[(x^5 + 322*x^4 + 2296*x^3 + x^2 + 321*x + 2296, 6), (x^5 + 1976*x^4 + 2296*x^3 + x^2 + 1975*x + 2296, 6)]",False
11,2341,6,5,"[(x^5 + 622*x^4 + 2340*x^3 + x^2 + 621*x + 2340, 6), (x^5 + 1720*x^4 + 2340*x^3 + x^2 + 1719*x + 2340, 6)]",False
11,2347,6,5,"[(x^5 + 956*x^4 + 2346*x^3 + x^2 + 955*x + 2346, 6), (x^5 + 1392*x^4 + 2346*x^3 + x^2 + 1391*x + 2346, 6)]",False
11,2357,6,5,"[(x^5 + 1085*x^4 + 2356*x^3 + x^2 + 1084*x + 2356, 6), (x^5 + 1273*x^4 + 2356*x^3 + x^2 + 1272*x + 2356, 6)]",False
11,2381,6,5,"[(x^5 + 85*x^4 + 2380*x^3 + x^2 + 84*x + 2380, 6), (x^5 + 2297*x^4 + 2380*x^3 + x^2 + 2296*x + 2380, 6)]",False
11,2423,6,5,"[(x^5 + 585*x^4 + 2422*x^3 + x^2 + 584*x + 2422, 6), (x^5 + 1839*x^4 + 2422*x^3 + x^2 + 1838*x + 2422, 6)]",False
11,2447,6,5,"[(x^5 + 853*x^4 + 2446*x^3 + x^2 + 852*x + 2446, 6), (x^5 + 1595*x^4 + 2446*x^3 + x^2 + 1594*x + 2446, 6)]",False
11,2467,6,5,"[(x^5 + 915*x^4 + 2466*x^3 + x^2 + 914*x + 2466, 6), (x^5 + 1553*x^4 + 2466*x^3 + x^2 + 1552*x + 2466, 6)]",False
11,2473,6,5,"[(x^5 + 591*x^4 + 2472*x^3 + x^2 + 590*x + 2472, 6), (x^5 + 1883*x^4 + 2472*x^3 + x^2 + 1882*x + 2472, 6)]",False
11,2539,6,5,"[(x^5 + 1101*x^4 + 2538*x^3 + x^2 + 1100*x + 2538, 6), (x^5 + 1439*x^4 + 2538*x^3 + x^2 + 1438*x + 2538, 6)]",False
11,2557,6,5,"[(x^5 + 759*x^4 + 2556*x^3 + x^2 + 758*x + 2556, 6), (x^5 + 1799*x^4 + 2556*x^3 + x^2 + 1798*x + 2556, 6)]",False
11,2579,6,5,"[(x^5 + 779*x^4 + 2578*x^3 + x^2 + 778*x + 2578, 6), (x^5 + 1801*x^4 + 2578*x^3 + x^2 + 1800*x + 2578, 6)]",False
11,2621,6,5,"[(x^5 + 1178*x^4 + 2620*x^3 + x^2 + 1177*x + 2620, 6), (x^5 + 1444*x^4 + 2620*x^3 + x^2 + 1443*x + 2620, 6)]",False
11,2633,6,5,"[(x^5 + 1107*x^4 + 2632*x^3 + x^2 + 1106*x + 2632, 6), (x^5 + 1527*x^4 + 2632*x^3 + x^2 + 1526*x + 2632, 6)]",False
