p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
1109,5,431,554,True
1109,11,499,554,True
1109,13,256,277,True
1109,17,516,554,True
1109,19,264,277,True
1109,29,271,277,True
1117,3,58,93,True
1117,5,289,372,True
1117,7,473,558,True
1117,11,9,12,True
1117,13,28,31,True
1117,19,343,372,True
1117,23,13,18,True
1123,5,292,374,True
1123,7,6,11,True
1123,11,334,374,True
1123,13,51,66,True
1123,17,176,187,True
1123,19,534,561,True
1123,23,539,561,True
1129,2,269,564,True
1129,3,357,564,True
1129,5,223,282,True
1129,7,447,564,True
1129,19,359,376,True
1129,23,179,188,True
1151,2,287,575,True
1151,3,377,575,True
1151,5,450,575,True
1151,7,99,115,True
1151,11,515,575,True
1151,13,37,46,True
1151,19,217,230,True
1151,29,530,575,True
1153,2,127,288,True
1153,3,377,576,True
1153,7,313,384,True
1153,11,503,576,True
1153,13,163,192,True
1153,23,63,72,True
1153,29,553,576,True
1163,2,73,166,True
1163,3,386,581,True
1163,11,515,581,True
1171,3,139,234,True
1171,5,34,45,True
1171,7,182,234,True
1171,11,355,390,True
1171,13,55,65,True
1171,17,557,585,True
1171,19,562,585,True
1171,23,187,195,True
1171,29,225,234,True
1181,2,105,236,True
1181,3,6,20,True
1181,5,483,590,True
1181,11,51,59,True
1181,17,273,295,True
1181,19,217,236,True
1181,23,563,590,True
1187,3,389,593,True
1187,11,529,593,True
1187,13,548,593,True
1187,23,574,593,True
1193,2,155,298,True
1193,11,267,298,True
1193,13,540,596,True
1193,29,563,596,True
1201,2,113,300,True
1201,3,167,300,True
1201,5,457,600,True
1201,7,5,8,True
1201,13,361,400,True
1201,19,181,200,True
1201,23,377,400,True
1213,3,202,303,True
1213,7,250,303,True
1213,11,539,606,True
1213,13,87,101,True
1213,17,369,404,True
1213,19,563,606,True
1213,29,292,303,True
1217,2,59,152,True
1217,19,69,76,True
1217,29,581,608,True
1223,2,299,611,True
1223,3,26,47,True
1223,7,532,611,True
1223,11,541,611,True
1223,13,564,611,True
1223,17,576,611,True
1223,29,599,611,True
1229,5,459,614,True
1229,7,527,614,True
1231,2,315,615,True
1231,5,483,615,True
1231,7,533,615,True
1231,11,34,41,True
1231,13,190,205,True
1231,17,71,82,True
1231,19,193,205,True
1231,29,118,123,True
1237,3,207,309,True
1237,11,179,206,True
1237,13,383,412,True
1237,17,295,309,True
1237,23,297,309,True
1249,2,69,156,True
1249,3,124,208,True
1249,5,483,624,True
1249,13,537,624,True
1249,17,69,78,True
1249,23,391,416,True
1259,3,428,629,True
1259,5,504,629,True
1259,7,529,629,True
1259,17,600,629,True
1259,23,589,629,True
1259,29,65,74,True
1277,11,284,319,True
1277,13,299,319,True
1277,17,300,319,True
1277,19,302,319,True
1277,23,301,319,True
1277,29,311,319,True
1279,2,307,639,True
1279,5,506,639,True
1279,7,551,639,True
1279,11,395,426,True
1279,17,602,639,True
1279,19,401,426,True
1279,23,608,639,True
1283,3,431,641,True
1283,11,583,641,True
1283,13,602,641,True
1283,17,606,641,True
1283,19,607,641,True
1283,29,618,641,True
1289,2,77,161,True
1289,3,110,184,True
1289,5,510,644,True
1289,7,277,322,True
1289,17,171,184,True
1289,19,615,644,True
1289,23,20,23,True
1289,29,151,161,True
1291,5,173,215,True
1291,7,565,645,True
1291,11,235,258,True
1291,13,601,645,True
1291,17,606,645,True
1291,19,120,129,True
1297,2,327,648,True
1297,3,90,162,True
1297,5,111,144,True
1297,7,557,648,True
1297,11,395,432,True
1297,13,193,216,True
1297,19,298,324,True
1297,23,147,162,True
1301,5,494,650,True
1301,11,103,130,True
1301,13,299,325,True
1301,17,305,325,True
1301,19,613,650,True
1301,23,619,650,True
1301,29,119,130,True
1303,2,355,651,True
1303,3,272,434,True
1303,5,43,62,True
1303,11,52,62,True
1303,13,77,93,True
1303,17,401,434,True
1303,19,169,186,True
1303,23,626,651,True
1307,3,449,653,True
1307,7,554,653,True
1307,17,601,653,True
1307,19,602,653,True
1307,23,628,653,True
1319,2,303,659,True
1319,3,452,659,True
1319,5,523,659,True
1319,7,562,659,True
1319,11,577,659,True
1319,19,618,659,True
1321,2,21,60,True
1321,3,32,55,True
1321,5,503,660,True
1321,7,223,264,True
1321,11,149,165,True
1321,17,19,24,True
1321,29,637,660,True
1327,2,109,221,True
1327,7,381,442,True
1327,11,592,663,True
1327,13,614,663,True
1327,17,628,663,True
1327,19,415,442,True
1327,29,633,663,True
1361,2,351,680,True
1361,5,258,340,True
1361,13,151,170,True
1361,17,59,68,True
1361,23,649,680,True
1367,2,335,683,True
1367,3,446,683,True
1367,19,635,683,True
1367,23,648,683,True
1367,29,660,683,True
1373,7,295,343,True
1373,11,617,686,True
1373,17,639,686,True
1373,19,639,686,True
1373,23,651,686,True
1381,3,223,345,True
1381,5,563,690,True
1381,7,293,345,True
1381,13,20,23,True
1381,17,317,345,True
1381,23,638,690,True
1381,29,437,460,True
1399,2,113,233,True
1399,3,313,466,True
1399,5,553,699,True
1399,7,589,699,True
1399,11,214,233,True
1399,17,437,466,True
1399,19,657,699,True
1399,23,667,699,True
1399,29,686,699,True
1409,2,341,704,True
1409,5,579,704,True
1409,7,33,44,True
1409,11,619,704,True
1409,17,57,64,True
1409,23,678,704,True
1423,2,115,237,True
1423,5,370,474,True
1423,7,396,474,True
1423,17,14,18,True
1423,23,226,237,True
1423,29,453,474,True
1427,3,488,713,True
1427,7,622,713,True
1427,11,651,713,True
1427,13,663,713,True
1427,17,679,713,True
1427,19,675,713,True
1427,29,691,713,True
1429,2,27,84,True
1429,3,499,714,True
1429,5,90,119,True
1429,7,301,357,True
1429,13,651,714,True
1429,17,669,714,True
1429,19,679,714,True
1429,23,677,714,True
1433,2,81,179,True
1433,11,641,716,True
1433,13,321,358,True
1439,2,363,719,True
1439,3,500,719,True
1439,5,556,719,True
1439,13,658,719,True
1439,19,683,719,True
1447,2,371,723,True
1447,5,382,482,True
1447,7,202,241,True
1447,11,661,723,True
1447,13,225,241,True
1447,17,675,723,True
1447,19,226,241,True
1447,23,228,241,True
1451,3,473,725,True
1451,5,574,725,True
1451,11,653,725,True
1451,29,695,725,True
1453,3,219,363,True
1453,5,97,132,True
1453,7,101,121,True
